lmstar,z_best,lsma,lssfr,dlsma,dlssfr,lAv,b2a,ssfr_flag,lsigsfr,sigstar,lSIGgas_KS,lSIGgas_eKS,lSIGgas_dyn_TF,lSIGgas_dyn_GMs,lSIGgas_dyn_GMtot,lSIGgas_re,lSIGmol_T18,lSIGmol_mff,lSIGmol_mff_varyH,lmgas_KS,lmgas_eKS,lmgas_dyn_TF,lmgas_dyn_GMs,lmgas_dyn_GMtot,lmgas_re,lmmol_T18,lmmol_mff,lmmol_mff_varyH,lmmol_re,lAvtot_KS,lAvtot_eKS,lAvtot_dyn_TF,lAvtot_dyn_GMs,lAvtot_dyn_GMtot,lAvtot_re,lAvmol_T18,lAvmol_mff,lAvmol_mff_varyH,ltautot_KS,ltautot_eKS,ltautot_dyn_TF,ltautot_dyn_GMs,ltautot_dyn_GMtot,ltautot_re,ltaumol_T18,ltaumol_mff,ltaumol_mff_varyH
9.394,0.253,0.451,-7.847,-0.031,1.443,-0.301,0.556,1.000,-0.154,7.693,8.715,12.276,2810019091.638,9.628,8.658,8.028,7.810,8.365,8.849,10.416,13.977,2810019093.339,11.329,10.359,9.428,9.511,10.066,10.550,9.210,1.236,4.797,inf,2.149,1.179,0.549,0.331,0.886,1.370,1.200,4.761,inf,2.113,1.144,0.513,0.295,0.851,1.334
9.762,0.709,0.882,-8.794,0.371,0.178,0.176,0.155,1.000,-1.594,7.199,7.671,11.124,160937121.113,8.650,7.917,7.442,7.065,7.590,8.217,10.233,13.687,160937123.676,11.212,10.480,9.703,9.628,10.152,10.780,9.327,0.152,3.605,inf,1.131,0.398,-0.078,-0.454,0.070,0.698,0.116,3.569,inf,1.095,0.362,-0.113,-0.490,0.035,0.662
9.601,1.084,0.068,-8.782,-0.375,0.004,0.245,0.544,1.000,-0.116,8.666,8.742,11.826,800473731.814,8.988,8.742,8.559,8.463,8.394,8.750,9.677,12.761,800473732.748,9.922,9.677,9.192,9.397,9.328,9.684,9.096,1.078,4.162,inf,1.323,1.078,0.894,0.798,0.729,1.085,1.042,4.126,inf,1.288,1.042,0.859,0.763,0.694,1.050
9.025,0.963,0.346,-8.488,-0.051,0.437,-0.085,0.764,1.000,-0.954,7.535,8.135,11.579,340805697.782,8.855,8.185,7.809,7.286,7.786,8.235,9.626,13.069,340805699.273,10.345,9.675,8.998,8.777,9.277,9.725,8.476,0.277,3.720,inf,0.997,0.326,-0.050,-0.572,-0.072,0.376,0.241,3.685,inf,0.961,0.291,-0.085,-0.608,-0.108,0.341
9.593,1.098,0.634,-8.413,0.193,0.372,0.047,0.557,1.000,-0.887,7.527,8.184,11.648,501742730.243,9.070,8.292,7.879,7.597,7.876,8.421,10.250,13.714,501742732.310,11.137,10.359,9.645,9.663,9.943,10.488,9.362,0.513,3.977,inf,1.399,0.622,0.209,-0.074,0.206,0.751,0.477,3.942,inf,1.364,0.586,0.173,-0.110,0.170,0.715
10.130,1.056,0.552,-8.591,0.037,0.293,0.079,0.740,1.000,-0.364,8.228,8.563,11.805,981949761.476,9.201,8.693,8.281,8.283,8.184,8.701,10.465,13.707,981949763.378,11.104,10.595,9.882,10.186,10.087,10.604,9.885,1.067,4.309,inf,1.706,1.197,0.785,0.788,0.688,1.206,1.031,4.273,inf,1.670,1.161,0.749,0.752,0.653,1.170
9.146,1.499,0.529,-8.567,0.148,0.136,-0.301,0.568,1.000,-1.278,7.289,7.900,11.387,211889502.409,8.745,8.010,7.683,7.117,7.613,8.123,9.757,13.244,211889504.265,10.602,9.866,9.238,8.973,9.470,9.979,8.672,-0.058,3.429,inf,0.787,0.051,-0.276,-0.842,-0.345,0.164,-0.094,3.393,inf,0.751,0.016,-0.311,-0.877,-0.381,0.129
9.926,0.427,0.912,-0.466,0.327,8.829,-inf,0.722,1.000,6.838,7.304,13.781,19.258,43613314055624160.000,17.044,12.174,10.437,11.783,12.988,13.626,16.403,21.880,43613314055624160.000,19.666,14.796,12.757,14.405,15.610,16.247,14.104,6.370,11.847,inf,9.633,4.763,3.026,4.372,5.577,6.214,6.334,11.811,inf,9.597,4.727,2.990,4.336,5.541,6.178
10.053,2.010,0.435,-8.415,0.034,0.316,0.178,0.762,1.000,-0.031,8.384,8.804,12.050,1664585821.635,9.398,8.871,8.510,8.591,8.402,8.880,10.473,13.719,1664585823.305,11.067,10.540,9.878,10.260,10.071,10.549,9.959,1.128,4.374,inf,1.722,1.195,0.834,0.915,0.725,1.204,1.092,4.338,inf,1.686,1.159,0.798,0.879,0.690,1.168
9.243,1.075,0.266,-9.308,-0.128,-0.587,-0.222,0.208,0.000,-1.396,7.913,7.815,10.961,85126377.432,8.184,7.955,7.852,7.310,7.679,8.102,9.145,12.291,85126378.762,9.514,9.286,8.881,8.641,9.010,9.432,8.340,0.015,3.161,inf,0.384,0.155,0.052,-0.489,-0.120,0.302,-0.021,3.125,inf,0.348,0.119,0.016,-0.525,-0.156,0.266
